"index","county","report","offense","action","year","value"
"1","Alameda","Actions","Felony","Placed on Probation",2013,4663
"1","Alameda","Actions","Felony","Removed from Probation",2013,4777
"1","Alameda","Actions","Felony","Terminated",2013,2082
"1","Alameda","Actions","Felony","Revoked",2013,1354
"1","Alameda","Actions","Felony","Other",2013,1341
"1","Alameda","Actions","Misdemeanor","Placed on Probation",2013,117
"1","Alameda","Actions","Misdemeanor","Removed from Probation",2013,109
"1","Alameda","Actions","Misdemeanor","Terminated",2013,61
"1","Alameda","Actions","Misdemeanor","Revoked",2013,14
"1","Alameda","Actions","Misdemeanor","Other",2013,34
"1","Alameda","Caseload","Total",NA,2014,9843
"1","Alameda","Caseload","Felony",NA,2014,9680
"1","Alameda","Caseload","Misdemeanor",NA,2014,163
"1","Alameda","Actions","Total","Placed on Probation",2014,5162
"1","Alameda","Actions","Total","Removed from Probation",2014,8790
"1","Alameda","Actions","Total","Terminated",2014,2173
"1","Alameda","Actions","Total","Revoked",2014,3142
"1","Alameda","Actions","Total","Other",2014,3475
"1","Alameda","Actions","Felony","Placed on Probation",2014,5007
"1","Alameda","Actions","Felony","Removed from Probation",2014,8356
"1","Alameda","Actions","Felony","Terminated",2014,2088
"1","Alameda","Actions","Felony","Revoked",2014,3080
"1","Alameda","Actions","Felony","Other",2014,3188
"1","Alameda","Actions","Misdemeanor","Placed on Probation",2014,155
"1","Alameda","Actions","Misdemeanor","Removed from Probation",2014,434
"1","Alameda","Actions","Misdemeanor","Terminated",2014,85
"1","Alameda","Actions","Misdemeanor","Revoked",2014,62
"1","Alameda","Actions","Misdemeanor","Other",2014,287
"2","Alpine","Caseload","Total",NA,2005,64
"2","Alpine","Caseload","Felony",NA,2005,22
"2","Alpine","Caseload","Misdemeanor",NA,2005,42
"2","Alpine","Actions","Total","Placed on Probation",2005,32
"2","Alpine","Actions","Total","Removed from Probation",2005,34
"2","Alpine","Actions","Total","Terminated",2005,15
"2","Alpine","Actions","Total","Revoked",2005,11
"2","Alpine","Actions","Total","Other",2005,8
"2","Alpine","Actions","Felony","Placed on Probation",2005,8
"2","Alpine","Actions","Felony","Removed from Probation",2005,10
"2","Alpine","Actions","Felony","Terminated",2005,8
"2","Alpine","Actions","Felony","Revoked",2005,2
"2","Alpine","Actions","Felony","Other",2005,0
"2","Alpine","Actions","Misdemeanor","Placed on Probation",2005,24
"2","Alpine","Actions","Misdemeanor","Removed from Probation",2005,24
"2","Alpine","Actions","Misdemeanor","Terminated",2005,7
"2","Alpine","Actions","Misdemeanor","Revoked",2005,9
"2","Alpine","Actions","Misdemeanor","Other",2005,8
"2","Alpine","Caseload","Total",NA,2006,47
"2","Alpine","Caseload","Felony",NA,2006,17
"2","Alpine","Caseload","Misdemeanor",NA,2006,30
"2","Alpine","Actions","Total","Placed on Probation",2006,28
"2","Alpine","Actions","Total","Removed from Probation",2006,45
"2","Alpine","Actions","Total","Terminated",2006,11
